@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

balance-scale,1,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,563,62,55,7,0,88.709677,11.290323,0,0.790843,0.265233,0.342177,69.740413,78.437304,82.079511,5405.342863,-5323.263351,1.323863,87.182949,-85.859086,28.196574,0.454783,34.352755,0.965517,28,0.151515,5,0.848485,28,0.034483,1,0.848485,0.965517,0.903226,0.814002,0.907001,0.835356,0.887097,0.097435,0.902565,0.112903,?,0.887097,?,?,0.894831,0.809969,?,0.887097,0.003,0,0,0,0,0,25524,40145,5576,91.935484,66.666667,?
balance-scale,2,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,562,63,56,7,0,88.888889,11.111111,0,0.794118,0.26455,0.341178,69.615574,78.277198,83.196146,5405.927825,-5322.731679,1.320574,85.808378,-84.487804,28.739843,0.456188,34.544681,0.965517,28,0.029412,1,0.970588,33,0.034483,1,0.965517,0.965517,0.965517,0.936105,0.968053,0.948097,0.888889,0.094771,0.905229,0.111111,?,0.888889,?,?,0.897059,0.816044,?,0.888889,0.003,0,0,0,0,0,25524,40076,5645,92.063492,66.666667,?
balance-scale,2,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,562,63,55,8,0,87.301587,12.698413,0,0.764706,0.268078,0.346308,70.543782,79.454364,83.196146,5406.927825,-5323.731679,1.320574,85.824251,-84.503677,27.900587,0.442866,33.535913,0.931034,27,0.088235,3,0.911765,31,0.068966,2,0.9,0.931034,0.915254,0.841095,0.9214,0.869677,0.873016,0.10831,0.89169,0.126984,?,0.873016,?,?,0.882353,0.791037,?,0.873016,0.003,0,0,0,0,0,25526,40076,5645,92.063492,66.666667,?
balance-scale,2,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,562,63,57,6,0,90.47619,9.52381,0,0.823529,0.261023,0.335968,68.687367,77.082056,83.196146,5404.927825,-5321.731679,1.320574,85.792505,-84.471931,29.579099,0.46951,35.553449,1,29,0.147059,5,0.852941,29,0,0,0.852941,1,0.920635,0.852941,0.926471,0.852941,0.904762,0.081232,0.918768,0.095238,?,0.904762,?,?,0.911314,0.835466,?,0.904762,0.002,0.001,0,0,0,0,25526,40076,5645,92.063492,66.666667,?
balance-scale,2,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,562,63,55,8,0,87.301587,12.698413,0,0.764706,0.268078,0.346308,70.543782,79.454364,83.196146,5406.927825,-5323.731679,1.320574,85.824251,-84.503677,27.900587,0.442866,33.535913,1,29,0.235294,8,0.764706,26,0,0,0.783784,1,0.878788,0.774186,0.882353,0.783784,0.873016,0.10831,0.89169,0.126984,?,0.873016,?,?,0.882353,0.801706,?,0.873016,0.003,0,0,0,0,0,25526,40076,5645,92.063492,66.666667,?
balance-scale,2,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,562,63,58,5,0,92.063492,7.936508,0,0.852941,0.257496,0.330677,67.759159,75.868089,83.196146,5403.927825,-5320.731679,1.320574,85.776632,-84.456058,30.418355,0.482831,36.562216,1,29,0.147059,5,0.852941,29,0,0,0.852941,1,0.920635,0.852941,0.926471,0.852941,0.920635,0.067694,0.932306,0.079365,?,0.920635,?,?,0.926471,0.85924,?,0.920635,0.002,0,0,0,0,0,25522,40076,5645,92.063492,66.666667,?
balance-scale,2,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,563,62,54,8,0,87.096774,12.903226,0,0.761079,0.268817,0.347375,70.682851,79.628825,82.079511,5406.342863,-5324.263351,1.323863,87.199078,-85.875215,27.356938,0.441241,33.329801,0.964286,27,0.088235,3,0.911765,31,0.035714,1,0.9,0.964286,0.931034,0.872393,0.938025,0.883986,0.870968,0.110718,0.889282,0.129032,?,0.870968,?,?,0.880125,0.788251,?,0.870968,0.002,0.001,0.015625,0,15.625,0,25524,40145,5576,91.935484,66.666667,?
balance-scale,2,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,563,62,54,8,0,87.096774,12.903226,0,0.760733,0.268817,0.347375,70.682851,79.628825,82.079511,5406.342863,-5324.263351,1.323863,87.199078,-85.875215,27.358569,0.441267,33.331789,0.892857,25,0.058824,2,0.941176,32,0.107143,3,0.925926,0.892857,0.909091,0.837117,0.917017,0.875107,0.870968,0.111609,0.888391,0.129032,?,0.870968,?,?,0.879679,0.789271,?,0.870968,0.002,0.001,0,0,0,0,25526,40145,5576,91.935484,66.666667,?
balance-scale,2,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,563,62,53,9,0,85.483871,14.516129,0,0.727273,0.268817,0.347375,71.363728,80.495512,79.57723,4334.927825,-4255.350595,1.283504,69.918191,-68.634687,26.477679,0.427059,33.272934,0.931034,27,0.151515,5,0.848485,28,0.068966,2,0.84375,0.931034,0.885246,0.7783,0.88976,0.817818,0.854839,0.127566,0.872434,0.145161,?,0.854839,?,?,0.863636,0.772764,?,0.854839,0.002,0.001,0,0,0,0,25526,40145,5576,93.548387,66.666667,?
balance-scale,2,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,563,62,52,10,0,83.870968,16.129032,0,0.70178,0.275986,0.357544,72.567727,81.959917,82.079511,5408.342863,-5326.263351,1.323863,87.231336,-85.907473,25.678482,0.414169,31.284886,0.896552,26,0.090909,3,0.909091,30,0.103448,3,0.896552,0.896552,0.896552,0.805643,0.905956,0.853805,0.83871,0.135501,0.864499,0.16129,?,0.83871,?,?,0.851423,0.751072,?,0.83871,0.002,0.001,0.015625,0,15.625,0,25522,40145,5576,91.935484,66.666667,?
